用户号,机顶盒设备号,节目名称,节目ID,观看次数,分类,二级目录,分类名称,二级目录ID,分类名称ID,观看时长,点播日期,最早观看时间,最近观看时间,观看时间跨度,语种,地区,时间跨度,使用时长,总观看时长,一级标签,二级标签,地区参数,字母语种,正题名
10076,10313,那年花开月正圆,1875,1,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2700,,2017-09-01 20:54,2017-09-01 20:54,0.000000,国语,大陆,5433660.000000,7759380.000000,205800,节目分类,大陆剧场,大陆,中文,那年花开月正圆
10076,10313,那年花开月正圆,1875,1,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2700,,2017-09-01 20:54,2017-09-01 20:54,0.000000,国语,大陆,5433660.000000,7759380.000000,205800,地区,大陆,大陆,中文,那年花开月正圆
10076,10313,那年花开月正圆,1875,1,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2700,,2017-09-01 20:54,2017-09-01 20:54,0.000000,国语,大陆,5433660.000000,7759380.000000,205800,节目归属,精彩点,大陆,中文,那年花开月正圆
10076,10313,那年花开月正圆,1875,1,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2700,,2017-09-01 20:54,2017-09-01 20:54,0.000000,国语,大陆,5433660.000000,7759380.000000,205800,语言,中文,大陆,中文,那年花开月正圆
10868,10242,那年花开月正圆,1875,4,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2580,,2017-09-17 22:06,2017-09-25 21:45,689940.000000,国语,大陆,5902740.000000,6035340.000000,48840,节目分类,大陆剧场,大陆,中文,那年花开月正圆
10868,10242,那年花开月正圆,1875,4,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2580,,2017-09-17 22:06,2017-09-25 21:45,689940.000000,国语,大陆,5902740.000000,6035340.000000,48840,地区,大陆,大陆,中文,那年花开月正圆
10868,10242,那年花开月正圆,1875,4,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2580,,2017-09-17 22:06,2017-09-25 21:45,689940.000000,国语,大陆,5902740.000000,6035340.000000,48840,节目归属,精彩点,大陆,中文,那年花开月正圆
10868,10242,那年花开月正圆,1875,4,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2580,,2017-09-17 22:06,2017-09-25 21:45,689940.000000,国语,大陆,5902740.000000,6035340.000000,48840,语言,中文,大陆,中文,那年花开月正圆
11244,10133,那年花开月正圆,1875,21,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2456.16,20170901,2017-09-01 00:00,2017-09-29 00:00,2419200.000000,国语,大陆,3196800.000000,3196800.000000,5080.25,节目分类,大陆剧场,大陆,中文,那年花开月正圆
11244,10133,那年花开月正圆,1875,21,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2456.16,20170901,2017-09-01 00:00,2017-09-29 00:00,2419200.000000,国语,大陆,3196800.000000,3196800.000000,5080.25,地区,大陆,大陆,中文,那年花开月正圆
11244,10133,那年花开月正圆,1875,21,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2456.16,20170901,2017-09-01 00:00,2017-09-29 00:00,2419200.000000,国语,大陆,3196800.000000,3196800.000000,5080.25,节目归属,精彩点,大陆,中文,那年花开月正圆
11244,10133,那年花开月正圆,1875,21,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2456.16,20170901,2017-09-01 00:00,2017-09-29 00:00,2419200.000000,国语,大陆,3196800.000000,3196800.000000,5080.25,语言,中文,大陆,中文,那年花开月正圆
10148,10280,楚乔传,1163,22,精彩点/大陆剧场,精彩点,大陆剧场,2,11,120,,2017-07-07 08:40,2017-09-19 21:12,6438720.000000,国语,大陆,6927600.000000,7441200.000000,102060,节目分类,大陆剧场,大陆,中文,楚乔传
10148,10280,楚乔传,1163,22,精彩点/大陆剧场,精彩点,大陆剧场,2,11,120,,2017-07-07 08:40,2017-09-19 21:12,6438720.000000,国语,大陆,6927600.000000,7441200.000000,102060,地区,大陆,大陆,中文,楚乔传
10148,10280,楚乔传,1163,22,精彩点/大陆剧场,精彩点,大陆剧场,2,11,120,,2017-07-07 08:40,2017-09-19 21:12,6438720.000000,国语,大陆,6927600.000000,7441200.000000,102060,节目归属,精彩点,大陆,中文,楚乔传
10148,10280,楚乔传,1163,22,精彩点/大陆剧场,精彩点,大陆剧场,2,11,120,,2017-07-07 08:40,2017-09-19 21:12,6438720.000000,国语,大陆,6927600.000000,7441200.000000,102060,语言,中文,大陆,中文,楚乔传
11037,10255,楚乔传,1163,19,精彩点/大陆剧场,精彩点,大陆剧场,2,11,1740,,2017-07-12 06:56,2017-08-02 20:26,1863000.000000,国语,大陆,2753580.000000,7860060.000000,252840,节目分类,大陆剧场,大陆,中文,楚乔传
11037,10255,楚乔传,1163,19,精彩点/大陆剧场,精彩点,大陆剧场,2,11,1740,,2017-07-12 06:56,2017-08-02 20:26,1863000.000000,国语,大陆,2753580.000000,7860060.000000,252840,地区,大陆,大陆,中文,楚乔传
11037,10255,楚乔传,1163,19,精彩点/大陆剧场,精彩点,大陆剧场,2,11,1740,,2017-07-12 06:56,2017-08-02 20:26,1863000.000000,国语,大陆,2753580.000000,7860060.000000,252840,节目归属,精彩点,大陆,中文,楚乔传
11037,10255,楚乔传,1163,19,精彩点/大陆剧场,精彩点,大陆剧场,2,11,1740,,2017-07-12 06:56,2017-08-02 20:26,1863000.000000,国语,大陆,2753580.000000,7860060.000000,252840,语言,中文,大陆,中文,楚乔传
10448,11152,楚乔传,1163,1,精彩点/大陆剧场,精彩点,大陆剧场,2,11,60,,2017-07-13 10:41,2017-07-13 10:41,0.000000,国语,大陆,785820.000000,7556280.000000,117180,节目分类,大陆剧场,大陆,中文,楚乔传
10448,11152,楚乔传,1163,1,精彩点/大陆剧场,精彩点,大陆剧场,2,11,60,,2017-07-13 10:41,2017-07-13 10:41,0.000000,国语,大陆,785820.000000,7556280.000000,117180,地区,大陆,大陆,中文,楚乔传
10448,11152,楚乔传,1163,1,精彩点/大陆剧场,精彩点,大陆剧场,2,11,60,,2017-07-13 10:41,2017-07-13 10:41,0.000000,国语,大陆,785820.000000,7556280.000000,117180,节目归属,精彩点,大陆,中文,楚乔传
10448,11152,楚乔传,1163,1,精彩点/大陆剧场,精彩点,大陆剧场,2,11,60,,2017-07-13 10:41,2017-07-13 10:41,0.000000,国语,大陆,785820.000000,7556280.000000,117180,语言,中文,大陆,中文,楚乔传
10270,10521,楚乔传,1163,11,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2100,,2017-07-07 23:43,2017-07-29 00:18,1816500.000000,国语,大陆,1816500.000000,6483180.000000,11220,节目分类,大陆剧场,大陆,中文,楚乔传
10270,10521,楚乔传,1163,11,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2100,,2017-07-07 23:43,2017-07-29 00:18,1816500.000000,国语,大陆,1816500.000000,6483180.000000,11220,地区,大陆,大陆,中文,楚乔传
10270,10521,楚乔传,1163,11,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2100,,2017-07-07 23:43,2017-07-29 00:18,1816500.000000,国语,大陆,1816500.000000,6483180.000000,11220,节目归属,精彩点,大陆,中文,楚乔传
10270,10521,楚乔传,1163,11,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2100,,2017-07-07 23:43,2017-07-29 00:18,1816500.000000,国语,大陆,1816500.000000,6483180.000000,11220,语言,中文,大陆,中文,楚乔传
11067,11147,非诚勿扰：最帅机长丑拒终选区女生,1994,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,2400,,2017-08-02 16:40,2017-08-02 17:20,2400.000000,国语,大陆,2821620.000000,7938360.000000,472020,节目分类,综艺娱乐,大陆,中文,非诚勿扰：最帅机长丑拒终选区女生
11067,11147,非诚勿扰：最帅机长丑拒终选区女生,1994,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,2400,,2017-08-02 16:40,2017-08-02 17:20,2400.000000,国语,大陆,2821620.000000,7938360.000000,472020,地区,大陆,大陆,中文,非诚勿扰：最帅机长丑拒终选区女生
11067,11147,非诚勿扰：最帅机长丑拒终选区女生,1994,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,2400,,2017-08-02 16:40,2017-08-02 17:20,2400.000000,国语,大陆,2821620.000000,7938360.000000,472020,节目归属,精彩点,大陆,中文,非诚勿扰：最帅机长丑拒终选区女生
11067,11147,非诚勿扰：最帅机长丑拒终选区女生,1994,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,2400,,2017-08-02 16:40,2017-08-02 17:20,2400.000000,国语,大陆,2821620.000000,7938360.000000,472020,语言,中文,大陆,中文,非诚勿扰：最帅机长丑拒终选区女生
10448,11152,我们的爱,836,3,精彩点/大陆剧场,精彩点,大陆剧场,2,11,1860,,2017-09-14 10:25,2017-09-14 13:38,11580.000000,国语,大陆,6239640.000000,7556280.000000,117180,节目分类,大陆剧场,大陆,中文,我们的爱
10448,11152,我们的爱,836,3,精彩点/大陆剧场,精彩点,大陆剧场,2,11,1860,,2017-09-14 10:25,2017-09-14 13:38,11580.000000,国语,大陆,6239640.000000,7556280.000000,117180,地区,大陆,大陆,中文,我们的爱
10448,11152,我们的爱,836,3,精彩点/大陆剧场,精彩点,大陆剧场,2,11,1860,,2017-09-14 10:25,2017-09-14 13:38,11580.000000,国语,大陆,6239640.000000,7556280.000000,117180,节目归属,精彩点,大陆,中文,我们的爱
10448,11152,我们的爱,836,3,精彩点/大陆剧场,精彩点,大陆剧场,2,11,1860,,2017-09-14 10:25,2017-09-14 13:38,11580.000000,国语,大陆,6239640.000000,7556280.000000,117180,语言,中文,大陆,中文,我们的爱
10983,10263,我们的爱,836,56,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2640,,2017-09-16 21:18,2017-09-28 23:12,1043640.000000,国语,大陆,6226800.000000,6394500.000000,142260,节目分类,大陆剧场,大陆,中文,我们的爱
10983,10263,我们的爱,836,56,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2640,,2017-09-16 21:18,2017-09-28 23:12,1043640.000000,国语,大陆,6226800.000000,6394500.000000,142260,地区,大陆,大陆,中文,我们的爱
10983,10263,我们的爱,836,56,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2640,,2017-09-16 21:18,2017-09-28 23:12,1043640.000000,国语,大陆,6226800.000000,6394500.000000,142260,节目归属,精彩点,大陆,中文,我们的爱
10983,10263,我们的爱,836,56,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2640,,2017-09-16 21:18,2017-09-28 23:12,1043640.000000,国语,大陆,6226800.000000,6394500.000000,142260,语言,中文,大陆,中文,我们的爱
11177,10302,中国新歌声 第二季：郭沁治愈嗓音征服E神,122,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,5220,,2017-09-17 18:41,2017-09-17 19:09,1680.000000,国语,大陆,6033240.000000,6038520.000000,369000,节目分类,综艺娱乐,大陆,中文,中国新歌声 第二季：郭沁治愈嗓音征服E神
11177,10302,中国新歌声 第二季：郭沁治愈嗓音征服E神,122,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,5220,,2017-09-17 18:41,2017-09-17 19:09,1680.000000,国语,大陆,6033240.000000,6038520.000000,369000,地区,大陆,大陆,中文,中国新歌声 第二季：郭沁治愈嗓音征服E神
11177,10302,中国新歌声 第二季：郭沁治愈嗓音征服E神,122,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,5220,,2017-09-17 18:41,2017-09-17 19:09,1680.000000,国语,大陆,6033240.000000,6038520.000000,369000,节目归属,精彩点,大陆,中文,中国新歌声 第二季：郭沁治愈嗓音征服E神
11177,10302,中国新歌声 第二季：郭沁治愈嗓音征服E神,122,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,5220,,2017-09-17 18:41,2017-09-17 19:09,1680.000000,国语,大陆,6033240.000000,6038520.000000,369000,语言,中文,大陆,中文,中国新歌声 第二季：郭沁治愈嗓音征服E神
11024,11252,我们来了 第二季：关之琳蒋欣领衔女神团长城走秀,825,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,300,,2017-08-08 10:30,2017-08-08 10:34,240.000000,国语,大陆,3074100.000000,5960520.000000,117780,节目分类,综艺娱乐,大陆,中文,我们来了 第二季：关之琳蒋欣领衔女神团长城走秀
11024,11252,我们来了 第二季：关之琳蒋欣领衔女神团长城走秀,825,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,300,,2017-08-08 10:30,2017-08-08 10:34,240.000000,国语,大陆,3074100.000000,5960520.000000,117780,地区,大陆,大陆,中文,我们来了 第二季：关之琳蒋欣领衔女神团长城走秀
11024,11252,我们来了 第二季：关之琳蒋欣领衔女神团长城走秀,825,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,300,,2017-08-08 10:30,2017-08-08 10:34,240.000000,国语,大陆,3074100.000000,5960520.000000,117780,节目归属,精彩点,大陆,中文,我们来了 第二季：关之琳蒋欣领衔女神团长城走秀
11024,11252,我们来了 第二季：关之琳蒋欣领衔女神团长城走秀,825,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,300,,2017-08-08 10:30,2017-08-08 10:34,240.000000,国语,大陆,3074100.000000,5960520.000000,117780,语言,中文,大陆,中文,我们来了 第二季：关之琳蒋欣领衔女神团长城走秀
10156,10383,反恐特战队之猎影,368,5,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2460,,2017-08-07 21:33,2017-08-09 22:33,176400.000000,国语,大陆,690540.000000,2838000.000000,99540,节目分类,大陆剧场,大陆,中文,反恐特战队之猎影
10156,10383,反恐特战队之猎影,368,5,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2460,,2017-08-07 21:33,2017-08-09 22:33,176400.000000,国语,大陆,690540.000000,2838000.000000,99540,地区,大陆,大陆,中文,反恐特战队之猎影
10156,10383,反恐特战队之猎影,368,5,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2460,,2017-08-07 21:33,2017-08-09 22:33,176400.000000,国语,大陆,690540.000000,2838000.000000,99540,节目归属,精彩点,大陆,中文,反恐特战队之猎影
10156,10383,反恐特战队之猎影,368,5,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2460,,2017-08-07 21:33,2017-08-09 22:33,176400.000000,国语,大陆,690540.000000,2838000.000000,99540,语言,中文,大陆,中文,反恐特战队之猎影
10204,10992,挑战的法则：大张伟嗨唱TFBOYS金曲,905,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,3900,,2017-07-22 13:19,2017-07-22 14:24,3900.000000,国语,大陆,1868640.000000,7943640.000000,298620,节目分类,综艺娱乐,大陆,中文,挑战的法则：大张伟嗨唱TFBOYS金曲
10204,10992,挑战的法则：大张伟嗨唱TFBOYS金曲,905,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,3900,,2017-07-22 13:19,2017-07-22 14:24,3900.000000,国语,大陆,1868640.000000,7943640.000000,298620,地区,大陆,大陆,中文,挑战的法则：大张伟嗨唱TFBOYS金曲
10204,10992,挑战的法则：大张伟嗨唱TFBOYS金曲,905,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,3900,,2017-07-22 13:19,2017-07-22 14:24,3900.000000,国语,大陆,1868640.000000,7943640.000000,298620,节目归属,精彩点,大陆,中文,挑战的法则：大张伟嗨唱TFBOYS金曲
10204,10992,挑战的法则：大张伟嗨唱TFBOYS金曲,905,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,3900,,2017-07-22 13:19,2017-07-22 14:24,3900.000000,国语,大陆,1868640.000000,7943640.000000,298620,语言,中文,大陆,中文,挑战的法则：大张伟嗨唱TFBOYS金曲
10770,10684,我想和你唱 第二季：韩磊现场尬舞小歌迷,859,1,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,4800,,2017-07-06 18:17,2017-07-06 18:17,0.000000,国语,大陆,470100.000000,7915320.000000,752134.33,节目分类,综艺娱乐,大陆,中文,我想和你唱 第二季：韩磊现场尬舞小歌迷
10770,10684,我想和你唱 第二季：韩磊现场尬舞小歌迷,859,1,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,4800,,2017-07-06 18:17,2017-07-06 18:17,0.000000,国语,大陆,470100.000000,7915320.000000,752134.33,地区,大陆,大陆,中文,我想和你唱 第二季：韩磊现场尬舞小歌迷
10770,10684,我想和你唱 第二季：韩磊现场尬舞小歌迷,859,1,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,4800,,2017-07-06 18:17,2017-07-06 18:17,0.000000,国语,大陆,470100.000000,7915320.000000,752134.33,节目归属,精彩点,大陆,中文,我想和你唱 第二季：韩磊现场尬舞小歌迷
10770,10684,我想和你唱 第二季：韩磊现场尬舞小歌迷,859,1,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,4800,,2017-07-06 18:17,2017-07-06 18:17,0.000000,国语,大陆,470100.000000,7915320.000000,752134.33,语言,中文,大陆,中文,我想和你唱 第二季：韩磊现场尬舞小歌迷
10429,10550,精灵梦叶罗丽 第五季,1543,1,今日上线/大陆剧场,今日上线,大陆剧场,7,11,60,,2017-09-18 18:33,2017-09-18 18:33,0.000000,国语,大陆,6808740.000000,7841220.000000,573000,节目分类,大陆剧场,大陆,中文,精灵梦叶罗丽 第五季
10429,10550,精灵梦叶罗丽 第五季,1543,1,今日上线/大陆剧场,今日上线,大陆剧场,7,11,60,,2017-09-18 18:33,2017-09-18 18:33,0.000000,国语,大陆,6808740.000000,7841220.000000,573000,地区,大陆,大陆,中文,精灵梦叶罗丽 第五季
10429,10550,精灵梦叶罗丽 第五季,1543,1,今日上线/大陆剧场,今日上线,大陆剧场,7,11,60,,2017-09-18 18:33,2017-09-18 18:33,0.000000,国语,大陆,6808740.000000,7841220.000000,573000,节目归属,今日上线,大陆,中文,精灵梦叶罗丽 第五季
10429,10550,精灵梦叶罗丽 第五季,1543,1,今日上线/大陆剧场,今日上线,大陆剧场,7,11,60,,2017-09-18 18:33,2017-09-18 18:33,0.000000,国语,大陆,6808740.000000,7841220.000000,573000,语言,中文,大陆,中文,精灵梦叶罗丽 第五季
10292,11253,白夜追凶,1434,1,热门影视/大陆剧场,热门影视,大陆剧场,8,11,34140,,2017-09-24 15:29,2017-09-24 15:29,0.000000,国语,大陆,0.000000,0.000000,34140,节目分类,大陆剧场,大陆,中文,白夜追凶
10292,11253,白夜追凶,1434,1,热门影视/大陆剧场,热门影视,大陆剧场,8,11,34140,,2017-09-24 15:29,2017-09-24 15:29,0.000000,国语,大陆,0.000000,0.000000,34140,地区,大陆,大陆,中文,白夜追凶
10292,11253,白夜追凶,1434,1,热门影视/大陆剧场,热门影视,大陆剧场,8,11,34140,,2017-09-24 15:29,2017-09-24 15:29,0.000000,国语,大陆,0.000000,0.000000,34140,节目归属,热门影视,大陆,中文,白夜追凶
10292,11253,白夜追凶,1434,1,热门影视/大陆剧场,热门影视,大陆剧场,8,11,34140,,2017-09-24 15:29,2017-09-24 15:29,0.000000,国语,大陆,0.000000,0.000000,34140,语言,中文,大陆,中文,白夜追凶
10246,10202,变形金刚,386,1,精彩点/欧美剧场,精彩点,欧美剧场,2,13,2400,,2017-07-06 19:44,2017-07-06 19:44,0.000000,英语,美国,443940.000000,7884420.000000,846660,节目分类,欧美剧场,美国,中文,变形金刚
10246,10202,变形金刚,386,1,精彩点/欧美剧场,精彩点,欧美剧场,2,13,2400,,2017-07-06 19:44,2017-07-06 19:44,0.000000,英语,美国,443940.000000,7884420.000000,846660,地区,美国,美国,中文,变形金刚
10246,10202,变形金刚,386,1,精彩点/欧美剧场,精彩点,欧美剧场,2,13,2400,,2017-07-06 19:44,2017-07-06 19:44,0.000000,英语,美国,443940.000000,7884420.000000,846660,节目归属,精彩点,美国,中文,变形金刚
10246,10202,变形金刚,386,1,精彩点/欧美剧场,精彩点,欧美剧场,2,13,2400,,2017-07-06 19:44,2017-07-06 19:44,0.000000,英语,美国,443940.000000,7884420.000000,846660,语言,中文,美国,中文,变形金刚
11041,10732,中国新歌声 第二季：杰伦Eason对唱,118,5,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,14700,,2017-08-09 12:46,2017-09-29 14:30,4412640.000000,国语,大陆,7702380.000000,7811760.000000,236400,节目分类,综艺娱乐,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
11041,10732,中国新歌声 第二季：杰伦Eason对唱,118,5,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,14700,,2017-08-09 12:46,2017-09-29 14:30,4412640.000000,国语,大陆,7702380.000000,7811760.000000,236400,地区,大陆,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
11041,10732,中国新歌声 第二季：杰伦Eason对唱,118,5,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,14700,,2017-08-09 12:46,2017-09-29 14:30,4412640.000000,国语,大陆,7702380.000000,7811760.000000,236400,节目归属,精彩点,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
11041,10732,中国新歌声 第二季：杰伦Eason对唱,118,5,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,14700,,2017-08-09 12:46,2017-09-29 14:30,4412640.000000,国语,大陆,7702380.000000,7811760.000000,236400,语言,中文,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10418,11058,中国新歌声 第二季：杰伦Eason对唱,118,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,19320,,2017-07-26 13:39,2017-07-26 14:20,2460.000000,国语,大陆,1477680.000000,7164720.000000,102912.27,节目分类,综艺娱乐,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10418,11058,中国新歌声 第二季：杰伦Eason对唱,118,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,19320,,2017-07-26 13:39,2017-07-26 14:20,2460.000000,国语,大陆,1477680.000000,7164720.000000,102912.27,地区,大陆,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10418,11058,中国新歌声 第二季：杰伦Eason对唱,118,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,19320,,2017-07-26 13:39,2017-07-26 14:20,2460.000000,国语,大陆,1477680.000000,7164720.000000,102912.27,节目归属,精彩点,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10418,11058,中国新歌声 第二季：杰伦Eason对唱,118,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,19320,,2017-07-26 13:39,2017-07-26 14:20,2460.000000,国语,大陆,1477680.000000,7164720.000000,102912.27,语言,中文,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10311,11110,中国新歌声 第二季：杰伦Eason对唱,118,1,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,6120,,2017-07-22 23:49,2017-07-22 23:49,0.000000,国语,大陆,0.000000,3112200.000000,53760,节目分类,综艺娱乐,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10311,11110,中国新歌声 第二季：杰伦Eason对唱,118,1,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,6120,,2017-07-22 23:49,2017-07-22 23:49,0.000000,国语,大陆,0.000000,3112200.000000,53760,地区,大陆,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10311,11110,中国新歌声 第二季：杰伦Eason对唱,118,1,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,6120,,2017-07-22 23:49,2017-07-22 23:49,0.000000,国语,大陆,0.000000,3112200.000000,53760,节目归属,精彩点,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10311,11110,中国新歌声 第二季：杰伦Eason对唱,118,1,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,6120,,2017-07-22 23:49,2017-07-22 23:49,0.000000,国语,大陆,0.000000,3112200.000000,53760,语言,中文,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
11075,10013,大军师司马懿之军师联盟,523,42,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2820,,2017-07-15 21:32,2017-09-24 21:30,6134280.000000,国语,大陆,6134280.000000,6603840.000000,303180,节目分类,大陆剧场,大陆,中文,大军师司马懿之军师联盟
11075,10013,大军师司马懿之军师联盟,523,42,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2820,,2017-07-15 21:32,2017-09-24 21:30,6134280.000000,国语,大陆,6134280.000000,6603840.000000,303180,地区,大陆,大陆,中文,大军师司马懿之军师联盟
11075,10013,大军师司马懿之军师联盟,523,42,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2820,,2017-07-15 21:32,2017-09-24 21:30,6134280.000000,国语,大陆,6134280.000000,6603840.000000,303180,节目归属,精彩点,大陆,中文,大军师司马懿之军师联盟
